Date,vix,s&p500
3-Oct-90,27.9,311.399994
4-Oct-90,27.51,312.690002
5-Oct-90,27.85,311.5
8-Oct-90,28.04,313.480011
9-Oct-90,30.71,305.100006
10-Oct-90,31.19,300.390015
11-Oct-90,33.98,295.459991
12-Oct-90,31.94,300.029999
15-Oct-90,31.64,303.230011
16-Oct-90,31.45,298.920013
17-Oct-90,31.37,298.76001
18-Oct-90,29.6,305.73999
19-Oct-90,27.86,312.480011
22-Oct-90,27.27,314.76001
23-Oct-90,27.57,312.359985
24-Oct-90,28.28,312.600006
25-Oct-90,29.04,310.170013
26-Oct-90,30.75,304.709991
29-Oct-90,31.54,301.880005
30-Oct-90,30.52,304.059998
31-Oct-90,30.04,304
1-Nov-90,30.25,307.019989
2-Nov-90,30.03,311.850006
5-Nov-90,29.85,314.589996
6-Nov-90,29.11,311.619995
7-Nov-90,30.87,306.01001
8-Nov-90,30.79,307.609985
9-Nov-90,26.96,313.73999
12-Nov-90,25.6,319.480011
13-Nov-90,24.58,317.670013
14-Nov-90,22.89,320.399994
15-Nov-90,22.57,317.019989
16-Nov-90,21.34,317.119995
19-Nov-90,20.95,319.339996
20-Nov-90,20.09,315.309998
21-Nov-90,21.09,316.029999
23-Nov-90,20.98,315.100006
26-Nov-90,22.76,316.51001
27-Nov-90,22.86,318.100006
28-Nov-90,22.96,317.950012
29-Nov-90,23.91,316.420013
30-Nov-90,22.16,322.220001
3-Dec-90,22.29,324.100006
4-Dec-90,22.03,326.350006
5-Dec-90,20.94,329.920013
6-Dec-90,22.62,329.070007
7-Dec-90,22.59,327.75
10-Dec-90,23.58,328.890015
11-Dec-90,23.75,326.440002
12-Dec-90,21.28,330.190002
13-Dec-90,23.05,329.339996
14-Dec-90,23.85,326.820007
17-Dec-90,24.85,326.019989
18-Dec-90,23.11,330.049988
19-Dec-90,23.08,330.200012
20-Dec-90,23.13,330.119995
21-Dec-90,22.66,331.75
24-Dec-90,24.03,329.899994
26-Dec-90,24.18,330.850006
27-Dec-90,24.81,328.290009
28-Dec-90,25.05,328.720001
31-Dec-90,26.38,330.220001
2-Jan-91,26.62,326.450012
3-Jan-91,27.93,321.910004
4-Jan-91,27.19,321
7-Jan-91,28.95,315.440002
8-Jan-91,30.38,314.899994
9-Jan-91,33.3,311.48999
10-Jan-91,31.33,314.529999
11-Jan-91,32.63,315.230011
14-Jan-91,36.2,312.48999
15-Jan-91,36.16,313.730011
16-Jan-91,33.2,316.170013
17-Jan-91,27.45,327.970001
18-Jan-91,25.39,332.230011
21-Jan-91,24.33,331.059998
22-Jan-91,24.9,328.309998
23-Jan-91,23.92,330.209991
24-Jan-91,22.86,334.779999
25-Jan-91,22.2,336.070007
28-Jan-91,23.05,336.029999
29-Jan-91,23.17,335.839996
30-Jan-91,21.37,340.910004
31-Jan-91,20.91,343.929993
1-Feb-91,21.04,343.049988
4-Feb-91,21.86,348.339996
5-Feb-91,21.46,351.26001
6-Feb-91,22.68,358.070007
7-Feb-91,23.6,356.519989
8-Feb-91,23.38,359.350006
11-Feb-91,22.56,368.579987
12-Feb-91,22.26,365.5
13-Feb-91,20.86,369.019989
14-Feb-91,21.48,364.220001
15-Feb-91,19.57,369.059998
19-Feb-91,19.84,369.390015
20-Feb-91,22.26,365.140015
21-Feb-91,20.78,364.970001
22-Feb-91,21.01,365.649994
25-Feb-91,22.86,367.26001
26-Feb-91,20.38,362.809998
27-Feb-91,21.26,367.73999
28-Feb-91,21.23,367.070007
4-Mar-91,20.86,370.470001
5-Mar-91,20.45,369.329987
6-Mar-91,20.55,376.720001
7-Mar-91,21.05,376.170013
8-Mar-91,20.81,375.910004
11-Mar-91,20.88,374.950012
12-Mar-91,18.82,372.959991
13-Mar-91,16.09,370.029999
14-Mar-91,14.94,374.570007
15-Mar-91,14.9,373.5
18-Mar-91,15.79,373.589996
19-Mar-91,16.11,372.109985
20-Mar-91,16.04,366.589996
21-Mar-91,16.86,367.920013
22-Mar-91,16.49,366.579987
25-Mar-91,16.76,367.480011
26-Mar-91,16.31,369.829987
27-Mar-91,16.55,376.299988
28-Mar-91,16.88,375.350006
1-Apr-91,17.42,375.220001
2-Apr-91,17.4,371.299988
3-Apr-91,17.61,379.5
4-Apr-91,18.01,378.940002
5-Apr-91,17.63,379.769989
8-Apr-91,17.41,375.359985
9-Apr-91,20.12,378.660004
10-Apr-91,19.73,373.559998
11-Apr-91,17.24,373.149994
12-Apr-91,18.45,377.630005
15-Apr-91,16.5,380.399994
16-Apr-91,15.82,381.190002
17-Apr-91,15.47,387.619995
18-Apr-91,16.26,390.450012
19-Apr-91,15.68,388.459991
22-Apr-91,16.78,384.200012
23-Apr-91,17.02,380.950012
24-Apr-91,16.72,381.76001
25-Apr-91,17.15,382.76001
26-Apr-91,17.27,379.25
29-Apr-91,18.27,379.019989
30-Apr-91,18.24,373.660004
1-May-91,17.77,375.339996
2-May-91,17.52,380.290009
3-May-91,17.24,380.519989
6-May-91,17.92,380.799988
7-May-91,17.46,380.079987
8-May-91,17.78,377.320007
9-May-91,17.17,378.51001
10-May-91,17.54,383.25
13-May-91,17.66,375.73999
14-May-91,18,376.76001
15-May-91,18.38,371.619995
16-May-91,17.24,368.570007
17-May-91,16.64,372.190002
20-May-91,17.1,372.390015
21-May-91,16.07,372.279999
22-May-91,16.16,375.350006
23-May-91,16.11,376.190002
24-May-91,15.23,374.959991
28-May-91,15.67,377.48999
29-May-91,15.9,381.940002
30-May-91,16.02,382.790009
31-May-91,15.93,386.959991
3-Jun-91,16.87,389.829987
4-Jun-91,16.17,388.059998
5-Jun-91,16.4,387.73999
6-Jun-91,16.93,385.089996
7-Jun-91,16.98,383.630005
10-Jun-91,17.47,379.429993
11-Jun-91,17.32,378.570007
12-Jun-91,17.72,381.049988
13-Jun-91,16.99,376.649994
14-Jun-91,15.98,377.630005
17-Jun-91,15.5,382.290009
18-Jun-91,16.14,380.130005
19-Jun-91,17.44,378.589996
20-Jun-91,16.75,375.089996
21-Jun-91,16.51,375.420013
24-Jun-91,18.28,377.75
25-Jun-91,17.85,370.940002
26-Jun-91,17.98,370.649994
27-Jun-91,17.87,371.589996
28-Jun-91,19.55,374.399994
1-Jul-91,18.64,371.160004
2-Jul-91,17.63,377.920013
3-Jul-91,19.47,377.470001
5-Jul-91,18.35,373.329987
8-Jul-91,20.29,374.079987
9-Jul-91,19.76,377.940002
10-Jul-91,19.19,376.109985
11-Jul-91,17.39,375.73999
12-Jul-91,18.29,376.970001
15-Jul-91,17.78,380.25
16-Jul-91,17.49,382.390015
17-Jul-91,17.52,381.540009
18-Jul-91,15.77,381.179993
19-Jul-91,15.5,385.369995
22-Jul-91,16.9,384.220001
23-Jul-91,16.58,382.880005
24-Jul-91,16.41,379.420013
25-Jul-91,15.74,378.640015
26-Jul-91,15.45,380.959991
29-Jul-91,15.67,380.929993
30-Jul-91,15.47,383.149994
31-Jul-91,15.18,386.690002
1-Aug-91,15.47,387.809998
2-Aug-91,15.26,387.119995
5-Aug-91,15.92,387.179993
6-Aug-91,15.54,385.059998
7-Aug-91,15.56,390.619995
8-Aug-91,15.98,390.559998
9-Aug-91,15.45,389.320007
12-Aug-91,15.26,387.119995
13-Aug-91,14.73,388.019989
14-Aug-91,15.09,389.619995
15-Aug-91,15.19,389.899994
16-Aug-91,16.01,389.329987
19-Aug-91,21.19,385.579987
20-Aug-91,18.86,376.470001
21-Aug-91,15.62,379.429993
22-Aug-91,14.59,390.589996
23-Aug-91,14.41,391.329987
26-Aug-91,14.81,394.170013
27-Aug-91,15.46,393.850006
28-Aug-91,15.31,393.059998
29-Aug-91,14.82,396.640015
30-Aug-91,14.46,396.470001
3-Sep-91,16.57,395.429993
4-Sep-91,17.18,392.149994
5-Sep-91,17.31,389.970001
6-Sep-91,16.76,389.140015
9-Sep-91,17.73,389.100006
10-Sep-91,18.22,388.570007
11-Sep-91,17.96,384.559998
12-Sep-91,16.21,385.089996
13-Sep-91,17.88,387.339996
16-Sep-91,17.82,383.589996
17-Sep-91,17.68,385.779999
18-Sep-91,17.56,385.5
19-Sep-91,17.56,386.940002
20-Sep-91,17.08,387.559998
23-Sep-91,16.38,387.920013
24-Sep-91,16.04,385.920013
25-Sep-91,15.68,387.709991
26-Sep-91,15.35,386.880005
27-Sep-91,16.31,386.48999
30-Sep-91,15.85,385.899994
1-Oct-91,14.81,387.859985
2-Oct-91,15.81,389.200012
3-Oct-91,17.04,388.26001
4-Oct-91,15.63,384.470001
7-Oct-91,18.58,381.25
8-Oct-91,17.81,379.5
9-Oct-91,18.54,380.670013
10-Oct-91,17.8,376.799988
11-Oct-91,17.6,380.549988
14-Oct-91,16.71,381.450012
15-Oct-91,16.22,386.470001
16-Oct-91,14.85,391.01001
17-Oct-91,16.32,392.799988
18-Oct-91,15.87,391.920013
21-Oct-91,16.66,392.5
22-Oct-91,16.55,390.019989
23-Oct-91,16.26,387.829987
24-Oct-91,15.62,387.940002
25-Oct-91,15.75,385.070007
28-Oct-91,15.45,384.200012
29-Oct-91,15.55,389.519989
30-Oct-91,15.46,391.480011
31-Oct-91,15.48,392.959991
1-Nov-91,15.6,392.450012
4-Nov-91,16.35,391.320007
5-Nov-91,16.48,390.279999
6-Nov-91,16.47,388.709991
7-Nov-91,15.97,389.970001
8-Nov-91,15.43,393.720001
11-Nov-91,14.89,392.890015
12-Nov-91,14.04,393.119995
13-Nov-91,13.95,396.73999
14-Nov-91,13.96,397.410004
15-Nov-91,21.18,397.149994
18-Nov-91,18.28,382.619995
19-Nov-91,20.34,385.23999
20-Nov-91,20.4,379.420013
21-Nov-91,19.11,378.529999
22-Nov-91,21.2,380.059998
25-Nov-91,21.92,376.140015
26-Nov-91,19.8,375.339996
27-Nov-91,19.84,377.959991
29-Nov-91,20.26,376.549988
2-Dec-91,20.18,375.220001
3-Dec-91,19.7,381.399994
4-Dec-91,19.54,380.959991
5-Dec-91,20.19,380.070007
6-Dec-91,19.04,377.390015
9-Dec-91,19.74,379.100006
10-Dec-91,19.89,378.26001
11-Dec-91,20.57,377.899994
12-Dec-91,19.08,377.700012
13-Dec-91,17.88,381.549988
16-Dec-91,17.62,384.470001
17-Dec-91,18.12,384.459991
18-Dec-91,17.78,382.73999
19-Dec-91,17.96,383.480011
20-Dec-91,17.65,382.519989
23-Dec-91,16.61,387.040009
24-Dec-91,15.67,396.820007
26-Dec-91,15.44,399.329987
27-Dec-91,15.7,404.839996
30-Dec-91,17.63,406.459991
31-Dec-91,19.31,415.140015
2-Jan-92,18.95,417.089996
3-Jan-92,18.75,417.26001
6-Jan-92,18.96,419.339996
7-Jan-92,19.23,417.959991
8-Jan-92,18.72,417.399994
9-Jan-92,18.96,418.100006
10-Jan-92,18.45,417.609985
13-Jan-92,18.01,415.100006
14-Jan-92,17.01,414.339996
15-Jan-92,17.39,420.440002
16-Jan-92,17.64,420.769989
17-Jan-92,16.32,418.209991
20-Jan-92,16.42,418.859985
21-Jan-92,17.92,416.359985
22-Jan-92,16.75,412.640015
23-Jan-92,16.46,418.130005
24-Jan-92,16.24,414.959991
27-Jan-92,16.67,415.480011
28-Jan-92,17.67,414.98999
29-Jan-92,17.62,414.959991
30-Jan-92,17.49,410.339996
31-Jan-92,17.4,411.619995
3-Feb-92,18.2,408.779999
4-Feb-92,17.96,409.529999
5-Feb-92,18.22,413.850006
6-Feb-92,18.79,413.839996
7-Feb-92,18.51,413.820007
10-Feb-92,18.56,411.089996
11-Feb-92,17.7,413.769989
12-Feb-92,17.37,413.76001
13-Feb-92,17.45,417.130005
14-Feb-92,17.03,413.690002
18-Feb-92,18.22,412.480011
19-Feb-92,17.16,407.380005
20-Feb-92,16.72,408.26001
21-Feb-92,16.87,413.899994
24-Feb-92,17.13,411.429993
25-Feb-92,16.35,412.269989
26-Feb-92,16.64,410.450012
27-Feb-92,16.51,415.350006
28-Feb-92,16.68,413.859985
2-Mar-92,16.88,412.700012
3-Mar-92,17.26,412.450012
4-Mar-92,17.89,412.850006
5-Mar-92,18.47,409.329987
6-Mar-92,19.75,406.51001
9-Mar-92,19.68,404.440002
10-Mar-92,18.68,405.209991
11-Mar-92,19.79,406.890015
12-Mar-92,19.72,404.029999
13-Mar-92,18.35,403.890015
16-Mar-92,18.46,405.839996
17-Mar-92,16.79,406.390015
18-Mar-92,16.69,409.579987
19-Mar-92,16.52,409.149994
20-Mar-92,16.82,409.799988
23-Mar-92,16.73,411.299988
24-Mar-92,16.32,409.910004
25-Mar-92,16.19,408.880005
26-Mar-92,16.29,407.519989
27-Mar-92,16.02,407.859985
30-Mar-92,15.97,403.5
31-Mar-92,16.18,403
1-Apr-92,16.48,403.690002
2-Apr-92,17.06,404.230011
3-Apr-92,16.72,400.5
6-Apr-92,16.72,401.549988
7-Apr-92,18.81,405.589996
8-Apr-92,20.15,398.059998
9-Apr-92,17.89,394.5
10-Apr-92,16.85,400.640015
13-Apr-92,16.99,404.290009
14-Apr-92,15.98,406.079987
15-Apr-92,15.15,412.390015
16-Apr-92,14.85,416.279999
20-Apr-92,15.93,416.040009
21-Apr-92,16.53,410.179993
22-Apr-92,15.96,410.26001
23-Apr-92,15.83,409.809998
24-Apr-92,15.71,411.600006
27-Apr-92,16.49,409.019989
28-Apr-92,16.24,408.450012
29-Apr-92,15.95,409.109985
30-Apr-92,15.53,412.019989
1-May-92,16.61,414.950012
4-May-92,16.92,412.529999
5-May-92,16.66,416.910004
6-May-92,16.81,416.839996
7-May-92,16.54,416.790009
8-May-92,15.65,415.850006
11-May-92,15.17,416.049988
12-May-92,15.68,418.48999
13-May-92,15.19,416.290009
14-May-92,15.49,416.450012
15-May-92,14.82,413.140015
18-May-92,14.62,410.089996
19-May-92,13.57,412.809998
20-May-92,13.62,416.369995
21-May-92,13.92,415.390015
22-May-92,13.73,412.600006
26-May-92,14.92,414.019989
27-May-92,13.99,411.410004
28-May-92,13.77,412.170013
29-May-92,13.86,416.73999
1-Jun-92,14.43,415.350006
2-Jun-92,14.57,417.299988
3-Jun-92,14.35,413.5
4-Jun-92,13.66,414.589996
5-Jun-92,14.65,413.26001
8-Jun-92,15.19,413.480011
9-Jun-92,15.97,413.359985
10-Jun-92,16.62,410.059998
11-Jun-92,16.29,407.25
12-Jun-92,14.95,409.049988
15-Jun-92,14.76,409.76001
16-Jun-92,15.22,410.290009
17-Jun-92,18.08,408.320007
18-Jun-92,18.2,402.26001
19-Jun-92,16.31,400.959991
22-Jun-92,16.66,403.670013
23-Jun-92,14.53,403.399994
24-Jun-92,14.4,404.040009
25-Jun-92,14.4,403.839996
26-Jun-92,14.67,403.119995
29-Jun-92,13.21,403.450012
30-Jun-92,13.35,408.940002
1-Jul-92,13.34,408.140015
2-Jul-92,13.88,412.880005
6-Jul-92,14.87,411.769989
7-Jul-92,15.83,413.839996
8-Jul-92,15.53,409.160004
9-Jul-92,14.6,410.279999
10-Jul-92,13.7,414.230011
13-Jul-92,14.01,414.619995
14-Jul-92,13.5,414.869995
15-Jul-92,12.52,417.679993
16-Jul-92,12.27,417.100006
17-Jul-92,12.6,417.540009
20-Jul-92,12.66,415.619995
21-Jul-92,12.6,413.75
22-Jul-92,13.57,413.76001
23-Jul-92,13.33,410.929993
24-Jul-92,13.37,412.079987
27-Jul-92,13.9,411.600006
28-Jul-92,13.05,411.540009
29-Jul-92,13.44,417.519989
30-Jul-92,13.5,422.230011
31-Jul-92,13.17,423.920013
3-Aug-92,13.83,424.209991
4-Aug-92,13.58,425.089996
5-Aug-92,13.82,424.359985
6-Aug-92,14.23,422.190002
7-Aug-92,13.94,420.589996
10-Aug-92,14.51,418.880005
11-Aug-92,15.09,419.420013
12-Aug-92,14.88,418.899994
13-Aug-92,15.34,417.779999
14-Aug-92,14.66,417.730011
17-Aug-92,14.61,419.910004
18-Aug-92,13.84,420.73999
19-Aug-92,14.35,421.339996
20-Aug-92,14.48,418.190002
21-Aug-92,15.01,418.26001
24-Aug-92,16.19,414.850006
25-Aug-92,15.62,410.720001
26-Aug-92,14.5,411.609985
27-Aug-92,13.66,413.51001
28-Aug-92,13.14,413.529999
